Cell_Index,Assigned_c,Sum of Shape_Area,Area
1009.0,HERB04,49.4057041154127,145.099703085
1009.0,SHRUB01,94.6586752113,145.099703085
1009.0,BARELAND01,1.03519040984,145.099703085
1010.0,HERB03,18.212690498178,100.0
1010.0,HERB04,81.1258735412,100.0
1011.0,HERB03,52.863593582626,100.0
1011.0,HERB04,34.695574418557996,100.0
1011.0,HERB01,12.4408319987,100.0
1012.0,HERB03,26.836031928176,100.0
1012.0,HERB01,17.9818910391,100.0
1012.0,HERB04,55.1820770327,100.0
1013.0,HERB03,93.89659988772,100.0
1013.0,HERB01,6.10340011227,100.0
1014.0,HERB03,74.27889305935,100.0
1014.0,HERB01,25.7211069407,100.0
1015.0,HERB03,38.914649332628,100.0
1016.0,HERB03,59.616864996875705,100.0
1017.0,HERB03,8.01804616223438,100.0
1036.0,HERB04,35.088584471543996,100.915207729
1036.0,HERB01,6.39639757482,100.915207729
1036.0,SHRUB01,52.34041842618,100.915207729
1036.0,TREE03,3.53613716539,100.915207729
1036.0,BARELAND01,3.55154714301,100.915207729
1037.0,HERB03,15.611684911040001,100.0
1037.0,HERB01,1.57457654883,100.0
1037.0,HERB04,50.607642426850006,100.0
1037.0,SHRUB01,32.20609611328,100.0
1038.0,HERB03,82.6060678290569,100.0
1038.0,HERB01,9.52423637923,100.0
1038.0,HERB04,7.86969579175,100.0
1039.0,HERB04,8.64540155008,100.0
1039.0,HERB03,91.354598449961,100.0
1040.0,HERB03,78.070702921913,100.0
1040.0,HERB01,16.9151809173,100.0
1040.0,HERB04,5.01411616075,100.0
1041.0,HERB01,41.62939243045,100.0
1041.0,HERB03,58.3706075695,100.0
1042.0,HERB02,35.353675069000005,100.0
1042.0,HERB03,20.175229549290002,100.0
1042.0,HERB01,44.47109538177353,100.0
1043.0,HERB04,14.20140777891,100.0
1043.0,HERB02,17.241810883,100.0
1043.0,HERB03,68.5567813381,100.0
1044.0,HERB04,13.438683210399999,100.0
1044.0,HERB03,86.5613167896,100.0
1045.0,HERB03,34.949476602641,100.0
1063.0,HERB04,69.68673120304399,80.660516631
1063.0,HERB03,8.2507027338,80.660516631
1063.0,HERB01,2.72242764469,80.660516631
1064.0,HERB03,87.653304007992,100.0
1064.0,HERB04,12.346695992031,100.0
1065.0,HERB03,64.9367942410768,100.0
1065.0,HERB01,35.063205759,100.0
1066.0,HERB03,63.87349638213936,100.0
1066.0,HERB01,15.7916070896,100.0
1066.0,HERB04,20.3348965283,100.0
1067.0,HERB03,74.0633821018826,100.0
1067.0,HERB01,25.936617898081,100.0
1068.0,HERB01,67.1408782570793,100.0
1068.0,HERB03,32.85912174288801,100.0
1069.0,HERB04,0.443443520257,100.0
1069.0,HERB03,47.7980174331,100.0
1069.0,HERB02,47.4631540063,100.0
1069.0,HERB01,4.29538504035,100.0
1070.0,HERB04,65.51997310486,100.0
1070.0,HERB02,34.4800268952,100.0
1071.0,HERB02,37.4847438084,100.0
1071.0,HERB04,40.293423734,100.0
1071.0,HERB03,22.2218324576,100.0
1072.0,HERB02,47.62415130918,100.0
1072.0,HERB03,52.3758486908,100.0
1089.0,HERB02,4.38744351001,85.7625574473
1089.0,HERB01,12.79483674331,85.7625574473
1089.0,HERB04,68.5795570706,85.7625574473
