Cell_Index,Assigned_c,Sum of Shape_Area,Area
54.0,HERB01,32.3059892157,100.0
55.0,HERB01,45.464798007516,100.0
55.0,HERB02,54.535201992524996,100.0
56.0,HERB01,47.1494986242557,100.0
56.0,HERB02,52.850501375736,100.0
57.0,HERB01,83.02933075874,100.0
57.0,HERB02,16.9706692412,100.0
58.0,HERB02,0.253974588869,100.0
58.0,HERB01,99.74602541109999,100.0
59.0,HERB01,99.92009963049631,100.0
59.0,HERB02,0.0799003694998,100.0
60.0,HERB02,25.07701229705,100.0
60.0,HERB01,74.880911742967,100.0
60.0,BARELAND01,0.0420759599809,100.0
61.0,HERB01,51.9845350830814,100.0
61.0,HERB02,32.83752250687,100.0
61.0,BARELAND01,15.17794241,100.0
62.0,HERB01,95.499208639081,100.0
62.0,HERB02,4.50079136083,100.0
63.0,HERB01,53.643409469610006,100.0
63.0,BARELAND01,27.3833811875,100.0
63.0,HERB02,18.9732093428,100.0
64.0,HERB01,29.8874387792,100.0
64.0,BARELAND01,60.568848779199996,100.0
64.0,HERB02,9.54371244164,100.0
65.0,HERB01,42.7757703442334,100.0
65.0,BARELAND01,43.1765206220562,100.0
65.0,HERB02,14.0477090337,100.0
66.0,HERB01,84.7111578389593,100.0
66.0,HERB02,10.50074028178,100.0
66.0,BARELAND01,4.78810187929,100.0
67.0,HERB01,99.77062580938869,100.0
67.0,BARELAND01,0.229374190683,100.0
68.0,HERB01,99.99999999999602,100.0
69.0,HERB01,99.99999999997,100.0
70.0,HERB01,159.4412214584952,159.708687332
70.0,BARELAND01,0.267702490312,159.708687332
71.0,HERB02,82.83379564983,146.160745251
71.0,HERB01,26.6745265683,146.160745251
71.0,BARELAND01,33.78610765093,146.160745251
71.0,WATER02,2.8659323037310003,146.160745251
72.0,HERB02,67.83281554785901,100.0
72.0,HERB01,29.994372792153,100.0
72.0,BARELAND01,2.17281165998,100.0
73.0,HERB02,29.742820548083998,100.0
73.0,HERB01,70.25717945182001,100.0
74.0,HERB01,73.003242577248,100.0
74.0,HERB02,26.9967574226972,100.0
75.0,HERB01,41.309866515269995,100.0
75.0,HERB02,58.6901334847,100.0
76.0,HERB01,90.3103834919875,100.0
76.0,HERB02,9.689616508077,100.0
77.0,HERB01,98.900393160016,100.0
77.0,HERB02,1.09960683995,100.0
78.0,HERB01,99.9999999999419,100.0
79.0,HERB01,85.58233715930051,100.0
79.0,HERB02,14.41766284075,100.0
80.0,HERB02,66.6564728846,100.0
80.0,HERB01,33.343527115338006,100.0
81.0,HERB02,64.36618588756,100.0
81.0,HERB01,35.63381411239,100.0
82.0,HERB01,28.45547354152,100.0
82.0,HERB02,71.54452645844,100.0
83.0,HERB01,100.0000000000534,100.0
84.0,HERB01,84.661335246531,100.0
84.0,HERB02,10.9180224328,100.0
84.0,BARELAND01,4.42064232066,100.0
85.0,HERB01,80.539266108913,100.0
85.0,HERB02,18.5904770809,100.0
85.0,BARELAND01,0.870256810262,100.0
86.0,HERB01,82.65608179897,100.0
