Cell_Index,Assigned_c,Sum of Shape_Area,Area
121.0,BARELAND01,88.61440147232,120.617985253
121.0,HERB02,32.0041206594449,120.617985253
122.0,HERB02,24.55238624061,119.063294915
122.0,BARELAND01,94.511132809175,119.063294915
133.0,HERB02,80.558638464137,105.479779548
133.0,BARELAND01,24.92221114864,105.479779548
134.0,BARELAND01,67.48592197200848,103.782300525
134.0,HERB02,36.296811710461,103.782300525
135.0,BARELAND01,113.68550469953868,120.448967176
135.0,HERB02,6.76425956747,120.448967176
136.0,BARELAND01,132.24529093575052,137.131328832
136.0,HERB02,4.88504761463,137.131328832
137.0,BARELAND01,127.227909040799,154.846520848
137.0,HERB02,27.6212850328,154.846520848
138.0,HERB02,8.63369033548,144.528707712
138.0,BARELAND01,135.89553871072,144.528707712
139.0,HERB02,66.591415005205,100.0
139.0,BARELAND01,33.408584994760005,100.0
140.0,BARELAND01,42.33294263251,100.0
140.0,HERB02,57.6670573675,100.0
150.0,BARELAND01,73.84733367984,214.921970195
150.0,HERB02,141.07258021739,214.921970195
151.0,HERB02,125.97709336074999,139.526922074
151.0,BARELAND01,13.5496657472,139.526922074
152.0,BARELAND01,25.301903971975,100.0
152.0,HERB02,74.69809602804001,100.0
153.0,BARELAND01,99.701178760864,100.0
153.0,HERB02,0.298821239109,100.0
154.0,BARELAND01,100.00000000005,100.0
155.0,BARELAND01,71.97441004802,100.0
155.0,HERB02,28.0255899519,100.0
156.0,BARELAND01,99.83201142015,100.0
156.0,HERB02,0.1679885799,100.0
157.0,HERB02,42.2648888044,100.0
157.0,BARELAND01,57.735111195503,100.0
158.0,BARELAND01,19.925745509755,100.0
158.0,HERB02,80.0742544903,100.0
159.0,BARELAND01,95.54047217184021,100.0
159.0,HERB02,4.45952782813,100.0
168.0,BARELAND01,43.4901240771,131.089376713
168.0,HERB02,87.5989512359,131.089376713
169.0,BARELAND01,56.07431091582,100.0
169.0,HERB02,43.92568908424,100.0
170.0,BARELAND01,99.992955199986,100.0
170.0,HERB02,0.00704479999904,100.0
171.0,BARELAND01,100.0000000000152,100.0
172.0,BARELAND01,99.99999999994802,100.0
173.0,BARELAND01,100.00000000007401,100.0
174.0,HERB02,76.02547570190299,100.0
174.0,BARELAND01,23.97452429811,100.0
175.0,BARELAND01,44.06694640654,100.0
175.0,HERB02,55.933053593534595,100.0
176.0,HERB02,10.0721954062,100.0
176.0,BARELAND01,89.9278045938,100.0
184.0,BARELAND01,143.04965729135,143.050864106
185.0,BARELAND01,100.000000000075,100.0
186.0,BARELAND01,100.00000000005001,100.0
187.0,BARELAND01,99.99999999995163,100.0
188.0,BARELAND01,99.99999999998336,100.0
189.0,BARELAND01,45.846352421766994,100.0
189.0,HERB02,54.153647578298006,100.0
190.0,BARELAND01,67.3192381466,100.0
190.0,HERB02,32.68076185337,100.0
191.0,HERB02,26.1069225648,100.0
191.0,BARELAND01,59.1397283078,100.0
198.0,BARELAND01,155.0110377077625,155.012351494
199.0,BARELAND01,99.99999999996,100.0
200.0,BARELAND01,99.99866674721,100.0
201.0,HERB02,7.23630246594,100.0
201.0,BARELAND01,92.76369753408,100.0
202.0,HERB02,33.1725958612595,100.0
202.0,BARELAND01,66.827404138721,100.0
203.0,FARMLAND01,2.10026437181,100.0
203.0,BARELAND01,47.7871649840415,100.0
203.0,HERB02,32.8073853438,100.0
203.0,HERB01,17.30483628093,100.0
204.0,FARMLAND01,8.13082268664,100.0
204.0,BARELAND01,81.53235942197,100.0
210.0,BARELAND01,166.973236627933,166.97383888
211.0,HERB02,10.7042216585,100.0
211.0,BARELAND01,89.29711159425501,100.0
212.0,BARELAND01,43.533274941889,100.0
212.0,HERB02,56.466725058099996,100.0
213.0,BARELAND01,27.716590060169,100.0
213.0,HERB01,18.046662988,100.0
213.0,HERB02,54.236746951842,100.0
214.0,HERB02,16.55229387023,100.0
214.0,BARELAND01,77.944887598159,100.0
214.0,HERB01,5.50316755102,100.0
215.0,FARMLAND01,54.87520529084001,100.0
215.0,HERB02,22.2865173576,100.0
215.0,BARELAND01,22.83864223085,100.0
220.0,HERB02,81.2855209101647,178.935326274
220.0,BARELAND01,97.649178685822,178.935326274
221.0,BARELAND01,32.265786438,100.0
221.0,HERB02,63.186472022619995,100.0
221.0,HERB01,4.54774153942,100.0
222.0,FARMLAND01,0.335301238759308,100.0
222.0,BARELAND01,93.026523199455,100.0
222.0,HERB01,6.3485814219,100.0
222.0,HERB02,0.289594140007,100.0
223.0,FARMLAND01,32.59210728355,100.0
223.0,BARELAND01,27.6131288212293,100.0
223.0,HERB02,39.7947638952,100.0
224.0,FARMLAND01,66.14629302519,100.0
224.0,SHRUB01,7.94695504126,100.0
224.0,HERB01,22.9003218039,100.0
224.0,HERB02,3.00643012971,100.0
227.0,BARELAND01,113.7952187546797,140.007812266
227.0,FARMLAND01,3.682211295562,140.007812266
227.0,HERB02,22.53060536639,140.007812266
228.0,HERB01,0.967898909099,100.0
228.0,FARMLAND01,61.75227467674,100.0
228.0,BARELAND01,37.279826414220004,100.0
229.0,BARELAND01,5.33436869647,100.0
229.0,FARMLAND01,64.7082847025,100.0
229.0,HERB01,29.456661131064,100.0
229.0,SHRUB01,0.500685469906,100.0
230.0,FARMLAND01,24.815149031283,100.0
230.0,HERB01,16.4665862451,100.0
230.0,SHRUB01,58.718264723647,100.0
232.0,HERB01,12.6081032957,100.822965996
232.0,FARMLAND01,59.795066633308,100.822965996
232.0,HERB02,7.09223073052,100.822965996
