Cell_Index,Assigned_c,Sum of Shape_Area,Area
0.0,HERB01,0.00737646003006,128.929643598
0.0,FARMLAND01,128.56474682765221,128.929643598
0.0,SHRUB01,0.357952819819,128.929643598
1.0,HERB02,0.10098703494,101.547679354
1.0,BARELAND01,18.014652859875,101.547679354
1.0,HERB01,55.0780722491982,101.547679354
1.0,FARMLAND01,11.324476811204,101.547679354
1.0,SHRUB01,17.0291054113,101.547679354
2.0,FARMLAND01,180.24513716336998,180.245568457
3.0,TREE01,6.6818486597,100.0
3.0,HERB01,26.037074489788,100.0
3.0,BARELAND01,6.75329562064,100.0
3.0,FARMLAND01,60.52778122984,100.0
4.0,BARELAND01,25.74727023756,100.0
4.0,HERB02,7.9949469012000005,100.0
4.0,TREE01,38.3527863524,100.0
4.0,HERB01,27.904996508923,100.0
5.0,HERB02,31.285045642173,150.617452122
5.0,BARELAND01,99.14000294853,150.617452122
5.0,HERB01,15.084918964309999,150.617452122
5.0,WATER01,5.10985739788,150.617452122
6.0,FARMLAND01,170.00837021733003,170.009026503
7.0,BARELAND01,0.523087370095,100.0
7.0,TREE01,1.49803795984,100.0
7.0,FARMLAND01,97.97887467011,100.0
8.0,BARELAND01,16.61880627917231,100.0
8.0,TREE01,19.79452756928,100.0
8.0,FARMLAND01,17.413657060970003,100.0
8.0,HERB01,46.1730090905,100.0
9.0,BARELAND01,61.53204191946,100.0
9.0,HERB01,18.016176489,100.0
9.0,HERB02,7.78216086228,100.0
9.0,TREE01,12.6696207293,100.0
10.0,BARELAND01,113.45246378009,118.538037638
10.0,HERB02,5.08593651267,118.538037638
11.0,FARMLAND01,159.77267799341,159.772484556
12.0,TREE01,6.13285928956,100.0
12.0,FARMLAND01,93.86714071047,100.0
13.0,HERB01,11.970602259909999,100.0
13.0,TREE01,50.0508383503,100.0
13.0,FARMLAND01,37.97855938976,100.0
14.0,BARELAND01,5.89491928901,100.0
14.0,HERB01,83.19773302096999,100.0
14.0,TREE01,10.90734769,100.0
15.0,BARELAND01,25.163427031923,100.0
15.0,HERB01,74.83657296799,100.0
