FID_4,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
649,649.0,5.0,40.0,100.0,139.0,A2,1033,BARELAND01,42.3843999989,31.221057256
649,649.0,5.0,40.0,100.0,139.0,A2,1090,HERB02,35.7843999974,40.2135300231
649,649.0,5.0,40.0,100.0,139.0,A2,1091,HERB02,4.84940000251,0.439438040705
650,650.0,5.0,40.0,100.0,140.0,A2,1028,BARELAND01,18.0913999993,5.39133466779
650,650.0,5.0,40.0,100.0,140.0,A2,1029,HERB02,28.4936000016,14.5423841523
650,650.0,5.0,40.0,100.0,140.0,A2,1030,BARELAND01,41.8400000054,26.8524997364
650,650.0,5.0,40.0,100.0,140.0,A2,1032,BARELAND01,14.3575999979,6.72768247608
650,650.0,5.0,40.0,100.0,140.0,A2,1089,BARELAND01,12.0473999996,3.36142575224
650,650.0,5.0,40.0,100.0,140.0,A2,1090,HERB02,31.691399999,22.0108477266
650,650.0,5.0,40.0,100.0,140.0,A2,1091,HERB02,30.1580000017,21.1138254886
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,955,BARELAND01,13.3491800357,6.43335940469
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,990,HERB02,32.2532416337,34.2952827529
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,991,HERB02,59.0003598947,90.525234647
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,992,HERB02,6.13923818834,0.61967414041
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,1038,HERB02,19.4609999936,12.8207708513
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,1039,BARELAND01,9.8133925782,3.76833428165
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,1040,BARELAND01,35.1532741387,32.7720964167
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,1041,BARELAND01,29.6898877424,30.8735435768
660,660.0,5.0,64.797912663,214.921970195,150.0,A2,1098,HERB02,27.1543471582,2.81161782578
661,661.0,7.0,47.5370743511,139.526922074,151.0,A2,952,HERB02,4.37019999884,0.45890532007
661,661.0,7.0,47.5370743511,139.526922074,151.0,A2,989,HERB02,53.9371671567,81.214492166
661,661.0,7.0,47.5370743511,139.526922074,151.0,A2,990,HERB02,24.9277999979,12.9918880275
661,661.0,7.0,47.5370743511,139.526922074,151.0,A2,991,HERB02,7.03179999813,1.16682784868
661,661.0,7.0,47.5370743511,139.526922074,151.0,A2,1038,HERB02,30.3540661967,30.1449799985
661,661.0,7.0,47.5370743511,139.526922074,151.0,A2,1039,BARELAND01,18.6676986826,13.5496657472
662,662.0,5.0,40.0,100.0,152.0,A2,950,BARELAND01,20.563000001,12.6158006872
