FID_A9,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
698,8035.0,5.0,40.0,100.0,697.0,A9,2046,unclassified,22.8029999994,19.7614446918
699,8036.0,5.0,40.0,100.0,698.0,A9,2046,unclassified,31.4360000007,7.10746356009
700,8037.0,5.0,40.0,100.0,699.0,A9,2046,unclassified,28.9306000005,45.1851535227
700,8037.0,5.0,40.0,100.0,699.0,A9,2088,unclassified,21.5559999999,15.8738422898
701,8038.0,5.0,40.0,100.0,700.0,A9,2088,unclassified,37.1469999999,85.7349999994
702,8039.0,5.0,40.0,100.0,701.0,A9,2088,unclassified,37.1469999999,85.7349999994
703,8040.0,5.0,40.0,100.0,702.0,A9,2086,FARMLAND03,40.7802000009,84.1716904006
703,8040.0,5.0,40.0,100.0,702.0,A9,2088,unclassified,21.2824000008,12.0810574101
703,8040.0,5.0,40.0,100.0,702.0,A9,2127,FARMLAND01,4.91600000113,0.477647349307
704,8041.0,5.0,40.0,100.0,703.0,A9,2086,FARMLAND03,60.467399992,54.6350163703
704,8041.0,5.0,40.0,100.0,703.0,A9,2087,FARMLAND03,4.1612000037,0.251151990598
704,8041.0,5.0,40.0,100.0,703.0,A9,2127,FARMLAND01,28.7084001347,7.04497258047
705,8042.0,5.0,40.0,100.0,704.0,A9,2086,FARMLAND03,0.305999998003,0.00584383992519
705,8042.0,5.0,40.0,100.0,704.0,A9,2087,FARMLAND03,38.5403999947,25.4083471705
706,8043.0,5.0,40.0,100.0,705.0,A9,2044,FARMLAND02,16.2083999943,4.43361602994
707,8044.0,5.0,40.0,100.0,706.0,A9,2038,FARMLAND02,3.20019999705,0.184319050101
707,8044.0,5.0,40.0,100.0,706.0,A9,2079,BARELAND01,10.7012000009,1.66789532107
707,8044.0,5.0,40.0,100.0,706.0,A9,2082,FARMLAND01,38.1022000071,12.8213296295
707,8044.0,5.0,40.0,100.0,706.0,A9,2084,FARMLAND02,36.4020000044,8.42210580928
708,8045.0,5.0,40.0,100.0,707.0,A9,2035,FARMLAND01,17.8378000017,2.75893273003
708,8045.0,5.0,40.0,100.0,707.0,A9,2036,BARELAND01,16.5126000009,5.09559072927
708,8045.0,5.0,40.0,100.0,707.0,A9,2077,FARMLAND02,7.09139999747,0.988300959536
708,8045.0,5.0,40.0,100.0,707.0,A9,2079,BARELAND01,39.3255999964,18.9082008816
708,8045.0,5.0,40.0,100.0,707.0,A9,2084,FARMLAND02,36.9191999938,11.7234355007
708,8045.0,5.0,40.0,100.0,707.0,A9,2121,BARELAND01,7.56290080677,1.08086996481
709,8046.0,5.0,40.0,100.0,708.0,A9,1981,FARMLAND02,11.1460000034,0.817201330921
709,8046.0,5.0,40.0,100.0,708.0,A9,2035,FARMLAND01,13.442800004,3.71166634058
709,8046.0,5.0,40.0,100.0,708.0,A9,2076,BARELAND01,9.17600000091,1.06738477008
709,8046.0,5.0,40.0,100.0,708.0,A9,2077,FARMLAND02,71.1325999815,17.6190429664
709,8046.0,5.0,40.0,100.0,708.0,A9,2078,FARMLAND02,37.2961999942,17.2775710343
709,8046.0,5.0,40.0,100.0,708.0,A9,2121,BARELAND01,57.6075000099,9.72580429286
710,8047.0,5.0,40.0,100.0,709.0,A9,2076,BARELAND01,45.3160000052,5.94792592124
710,8047.0,5.0,40.0,100.0,709.0,A9,2078,FARMLAND02,31.4502000082,8.96826870792
710,8047.0,5.0,40.0,100.0,709.0,A9,2121,BARELAND01,24.1319000429,3.51387952681
711,8048.0,5.0,40.0,100.0,710.0,A9,2076,BARELAND01,8.33000000194,1.00700307991
728,8065.0,5.0,40.0,100.0,727.0,A9,2046,unclassified,33.9054000005,69.5270000026
729,8066.0,5.0,40.0,100.0,728.0,A9,2046,unclassified,40.0,100.0
730,8067.0,5.0,40.0,100.0,729.0,A9,2046,unclassified,39.3981999997,82.0836448402
730,8067.0,5.0,40.0,100.0,729.0,A9,2088,unclassified,25.0433999989,17.9163551598
731,8068.0,5.0,40.0,100.0,730.0,A9,2088,unclassified,40.0,100.0
732,8069.0,5.0,40.0,100.0,731.0,A9,1992,FARMLAND01,9.34919999912,2.21435210998
732,8069.0,5.0,40.0,100.0,731.0,A9,1993,TREE01,2.869599998,0.199622090119
732,8069.0,5.0,40.0,100.0,731.0,A9,2086,FARMLAND03,4.27260000072,0.342478159961
732,8069.0,5.0,40.0,100.0,731.0,A9,2088,unclassified,40.0,97.2435476399
733,8070.0,5.0,40.0,100.0,732.0,A9,1992,FARMLAND01,17.9622000009,9.53053408074
733,8070.0,5.0,40.0,100.0,732.0,A9,1993,TREE01,0.511400001124,0.0144837000883
733,8070.0,5.0,40.0,100.0,732.0,A9,2086,FARMLAND03,40.4760000017,88.9636508889
733,8070.0,5.0,40.0,100.0,732.0,A9,2088,unclassified,10.3088000007,1.49133133032
734,8071.0,5.0,40.0,100.0,733.0,A9,1988,FARMLAND03,7.96840000153,1.91153440991
734,8071.0,5.0,40.0,100.0,733.0,A9,2086,FARMLAND03,41.915000001,98.0307978502
734,8071.0,5.0,40.0,100.0,733.0,A9,2087,FARMLAND03,1.91279999912,0.0576677399229
735,8072.0,5.0,40.0,100.0,734.0,A9,1988,FARMLAND03,25.8724000026,8.03003744235
735,8072.0,5.0,40.0,100.0,734.0,A9,2042,FARMLAND02,26.1344000045,10.1714208587
735,8072.0,5.0,40.0,100.0,734.0,A9,2043,FARMLAND01,23.8931999933,6.93525641208
735,8072.0,5.0,40.0,100.0,734.0,A9,2044,FARMLAND02,16.2714000009,3.96705744943
735,8072.0,5.0,40.0,100.0,734.0,A9,2045,FARMLAND01,59.4919999987,14.9808495313
735,8072.0,5.0,40.0,100.0,734.0,A9,2086,FARMLAND03,45.348599989,19.8364165473
735,8072.0,5.0,40.0,100.0,734.0,A9,2087,FARMLAND03,61.4031999931,34.3141687795
736,8073.0,5.0,40.0,100.0,735.0,A9,1985,BARELAND01,13.7598000057,1.93857214182
736,8073.0,5.0,40.0,100.0,735.0,A9,2039,BARELAND01,55.7848000098,13.4483665474
736,8073.0,5.0,40.0,100.0,735.0,A9,2041,FARMLAND02,30.6268000007,5.33726809989
736,8073.0,5.0,40.0,100.0,735.0,A9,2042,FARMLAND02,41.7290000059,9.78928886241
736,8073.0,5.0,40.0,100.0,735.0,A9,2043,FARMLAND01,0.954199999571,0.0397581901051
736,8073.0,5.0,40.0,100.0,735.0,A9,2044,FARMLAND02,74.987400014,63.2694854795
736,8073.0,5.0,40.0,100.0,735.0,A9,2087,FARMLAND03,2.65220000222,0.238246699839
737,8074.0,5.0,40.0,100.0,736.0,A9,1935,FARMLAND02,0.818000001833,0.0165194299862
737,8074.0,5.0,40.0,100.0,736.0,A9,1984,BARELAND01,14.0791999977,3.28006203977
737,8074.0,5.0,40.0,100.0,736.0,A9,1985,BARELAND01,2.97200000472,0.128523530401
737,8074.0,5.0,40.0,100.0,736.0,A9,2036,BARELAND01,13.5736000035,5.64424781046
737,8074.0,5.0,40.0,100.0,736.0,A9,2037,BARELAND01,47.839600008,21.5661662893
737,8074.0,5.0,40.0,100.0,736.0,A9,2038,FARMLAND02,32.8119999953,13.6387424616
737,8074.0,5.0,40.0,100.0,736.0,A9,2039,BARELAND01,35.4598000068,5.1059328386
737,8074.0,5.0,40.0,100.0,736.0,A9,2040,FARMLAND02,45.763000004,17.942517642
737,8074.0,5.0,40.0,100.0,736.0,A9,2041,FARMLAND02,31.928000005,14.8454417001
737,8074.0,5.0,40.0,100.0,736.0,A9,2044,FARMLAND02,5.00919999927,0.490950899751
737,8074.0,5.0,40.0,100.0,736.0,A9,2079,BARELAND01,4.61779999919,0.624735499866
737,8074.0,5.0,40.0,100.0,736.0,A9,2082,FARMLAND01,24.721199993,8.74074631825
737,8074.0,5.0,40.0,100.0,736.0,A9,2084,FARMLAND02,20.4818000048,4.0033506595
738,8075.0,5.0,40.0,100.0,737.0,A9,1983,FARMLAND02,31.9673999995,17.8708433993
738,8075.0,5.0,40.0,100.0,737.0,A9,1984,BARELAND01,22.0562000014,9.68155902307
738,8075.0,5.0,40.0,100.0,737.0,A9,2035,FARMLAND01,2.1043999996,0.0768637202851
738,8075.0,5.0,40.0,100.0,737.0,A9,2036,BARELAND01,58.1686000004,59.2670135695
738,8075.0,5.0,40.0,100.0,737.0,A9,2037,BARELAND01,12.7610000018,2.12878633997
738,8075.0,5.0,40.0,100.0,737.0,A9,2079,BARELAND01,18.4897999987,4.86632518881
738,8075.0,5.0,40.0,100.0,737.0,A9,2084,FARMLAND02,1.54180000164,0.0998919900755
739,8076.0,5.0,40.0,100.0,738.0,A9,1934,TREE01,2.72159999982,0.253633140469
739,8076.0,5.0,40.0,100.0,738.0,A9,1980,FARMLAND02,10.0855999999,2.84872672132
739,8076.0,5.0,40.0,100.0,738.0,A9,1981,FARMLAND02,72.2993999925,36.0228148684
739,8076.0,5.0,40.0,100.0,738.0,A9,1983,FARMLAND02,23.6312000006,10.7975771295
739,8076.0,5.0,40.0,100.0,738.0,A9,2035,FARMLAND01,46.9134000074,30.2589731606
739,8076.0,5.0,40.0,100.0,738.0,A9,2077,FARMLAND02,5.69719999842,0.847017169262
739,8076.0,5.0,40.0,100.0,738.0,A9,2078,FARMLAND02,16.3655999955,3.98773088953
740,8077.0,5.0,40.0,100.0,739.0,A9,1980,FARMLAND02,35.0953999907,14.3776208216
740,8077.0,5.0,40.0,100.0,739.0,A9,1981,FARMLAND02,38.5753999781,14.4082847381
740,8077.0,5.0,40.0,100.0,739.0,A9,2032,FARMLAND02,35.6348000038,12.2533956911
740,8077.0,5.0,40.0,100.0,739.0,A9,2078,FARMLAND02,4.9963999968,0.835442000333
741,8078.0,5.0,40.0,100.0,740.0,A9,1980,FARMLAND02,18.2160000019,1.93256747074
741,8078.0,5.0,40.0,100.0,740.0,A9,2032,FARMLAND02,38.5252000112,23.2673755285
759,8096.0,5.0,40.0,100.0,758.0,A9,1947,unclassified,31.0745999999,48.5162944327
759,8096.0,5.0,40.0,100.0,758.0,A9,2046,unclassified,24.3509999998,21.0107055699
760,8097.0,5.0,40.0,100.0,759.0,A9,1947,unclassified,29.5544000007,47.5095094438
760,8097.0,5.0,40.0,100.0,759.0,A9,1994,unclassified,14.5426000021,0.955940459154
760,8097.0,5.0,40.0,100.0,759.0,A9,2046,unclassified,30.4455999993,51.5345500971
761,8098.0,5.0,40.0,100.0,760.0,A9,1947,unclassified,7.97619999945,2.52924369943
761,8098.0,5.0,40.0,100.0,760.0,A9,1994,unclassified,41.9724000022,84.8166120576
761,8098.0,5.0,40.0,100.0,760.0,A9,2046,unclassified,17.1527999993,1.23332362338
761,8098.0,5.0,40.0,100.0,760.0,A9,2088,unclassified,14.8545999993,11.4208206196
762,8099.0,5.0,40.0,100.0,761.0,A9,1946,unclassified,18.7338000014,17.4907906232
762,8099.0,5.0,40.0,100.0,761.0,A9,1994,unclassified,23.5478000008,30.2812093804
762,8099.0,5.0,40.0,100.0,761.0,A9,2088,unclassified,30.4455999993,52.2279999964
763,8100.0,5.0,40.0,100.0,762.0,A9,1945,TREE01,17.634200003,12.4373999805
763,8100.0,5.0,40.0,100.0,762.0,A9,1946,unclassified,27.344200002,37.8663864432
763,8100.0,5.0,40.0,100.0,762.0,A9,1993,TREE01,13.607400002,5.38114896944
763,8100.0,5.0,40.0,100.0,762.0,A9,2088,unclassified,28.5526000001,44.3150646068
764,8101.0,5.0,40.0,100.0,763.0,A9,1944,SHRUB01,29.8611999936,13.8371665505
764,8101.0,5.0,40.0,100.0,763.0,A9,1945,TREE01,37.8035999928,43.3351177421
764,8101.0,5.0,40.0,100.0,763.0,A9,1990,FARMLAND03,7.9682,0.840352970451
764,8101.0,5.0,40.0,100.0,763.0,A9,1992,FARMLAND01,32.4973999932,19.9286067176
764,8101.0,5.0,40.0,100.0,763.0,A9,1993,TREE01,27.2727999911,13.6325065501
764,8101.0,5.0,40.0,100.0,763.0,A9,2086,FARMLAND03,17.425999999,8.42624946916
765,8102.0,5.0,40.0,100.0,764.0,A9,1940,FARMLAND01,14.8364000022,2.2053610813
765,8102.0,5.0,40.0,100.0,764.0,A9,1944,SHRUB01,12.8491999954,3.50417991987
765,8102.0,5.0,40.0,100.0,764.0,A9,1986,FARMLAND02,18.4136000015,6.44635746951
765,8102.0,5.0,40.0,100.0,764.0,A9,1988,FARMLAND03,29.9704000112,19.3955569481
765,8102.0,5.0,40.0,100.0,764.0,A9,1990,FARMLAND03,41.3176000044,24.3070936631
765,8102.0,5.0,40.0,100.0,764.0,A9,1991,FARMLAND01,35.6948000137,8.90937947054
765,8102.0,5.0,40.0,100.0,764.0,A9,1992,FARMLAND01,35.2179999985,14.2067624482
765,8102.0,5.0,40.0,100.0,764.0,A9,2086,FARMLAND03,37.4140000008,21.0253089993
766,8103.0,5.0,40.0,100.0,765.0,A9,1939,FARMLAND02,31.346199993,16.3702596201
766,8103.0,5.0,40.0,100.0,765.0,A9,1940,FARMLAND01,3.67300000042,0.388758279841
766,8103.0,5.0,40.0,100.0,765.0,A9,1986,FARMLAND02,21.6355999969,7.30961574118
766,8103.0,5.0,40.0,100.0,765.0,A9,1987,FARMLAND01,37.9161999952,9.99775617037
766,8103.0,5.0,40.0,100.0,765.0,A9,1988,FARMLAND03,50.5707999915,40.2445263507
766,8103.0,5.0,40.0,100.0,765.0,A9,1989,WATER01,40.7936000004,13.7568560187
766,8103.0,5.0,40.0,100.0,765.0,A9,2042,FARMLAND02,11.4176000003,1.6891556999
766,8103.0,5.0,40.0,100.0,765.0,A9,2043,FARMLAND01,37.9085999969,10.2430721192
767,8104.0,5.0,40.0,100.0,766.0,A9,1937,TREE01,15.5467999987,5.96459746941
767,8104.0,5.0,40.0,100.0,766.0,A9,1938,FARMLAND02,41.6694000065,22.04587409
767,8104.0,5.0,40.0,100.0,766.0,A9,1939,FARMLAND02,26.3842000011,5.76082740289
767,8104.0,5.0,40.0,100.0,766.0,A9,1985,BARELAND01,44.2778000142,19.3993557904
767,8104.0,5.0,40.0,100.0,766.0,A9,1989,WATER01,40.7488000076,23.4027142275
767,8104.0,5.0,40.0,100.0,766.0,A9,2039,BARELAND01,1.08559999987,0.0318377099861
767,8104.0,5.0,40.0,100.0,766.0,A9,2042,FARMLAND02,44.0162000079,21.7185593992
767,8104.0,5.0,40.0,100.0,766.0,A9,2043,FARMLAND01,14.9783999994,1.67623391056
768,8105.0,5.0,40.0,100.0,767.0,A9,1935,FARMLAND02,51.1384000033,56.7863593205
768,8105.0,5.0,40.0,100.0,767.0,A9,1938,FARMLAND02,20.9432000015,3.41578527051
768,8105.0,5.0,40.0,100.0,767.0,A9,1984,BARELAND01,18.6902000047,9.98567060978
768,8105.0,5.0,40.0,100.0,767.0,A9,1985,BARELAND01,46.2677999977,23.9937553811
768,8105.0,5.0,40.0,100.0,767.0,A9,2040,FARMLAND02,14.203599995,3.6259260989
768,8105.0,5.0,40.0,100.0,767.0,A9,2041,FARMLAND02,10.8967999946,1.70014253933
768,8105.0,5.0,40.0,100.0,767.0,A9,2042,FARMLAND02,4.88439999521,0.492360779931
769,8106.0,5.0,40.0,100.0,768.0,A9,1934,TREE01,7.6228000056,0.509090600277
769,8106.0,5.0,40.0,100.0,768.0,A9,1935,FARMLAND02,43.0946000107,52.3398686229
769,8106.0,5.0,40.0,100.0,768.0,A9,1983,FARMLAND02,26.2632000074,14.5010888577
769,8106.0,5.0,40.0,100.0,768.0,A9,1984,BARELAND01,39.5668000057,31.2317092287
769,8106.0,5.0,40.0,100.0,768.0,A9,2036,BARELAND01,9.46880000085,1.41824269038
770,8107.0,5.0,40.0,100.0,769.0,A9,1930,FARMLAND02,15.6496000011,3.57465151056
770,8107.0,5.0,40.0,100.0,769.0,A9,1931,FARMLAND01,46.0784000009,11.7759833219
770,8107.0,5.0,40.0,100.0,769.0,A9,1932,HERB02,33.9863999952,21.0625194399
770,8107.0,5.0,40.0,100.0,769.0,A9,1933,FARMLAND01,20.8531999961,2.95679946944
770,8107.0,5.0,40.0,100.0,769.0,A9,1934,TREE01,27.7646000013,9.32184568982
770,8107.0,5.0,40.0,100.0,769.0,A9,1935,FARMLAND02,8.01500000246,0.552737600474
770,8107.0,5.0,40.0,100.0,769.0,A9,1980,FARMLAND02,32.4050000012,14.9452232895
770,8107.0,5.0,40.0,100.0,769.0,A9,1981,FARMLAND02,17.2674000021,4.54765881959
770,8107.0,5.0,40.0,100.0,769.0,A9,1982,BARELAND01,28.9438000023,15.4391710896
770,8107.0,5.0,40.0,100.0,769.0,A9,1983,FARMLAND02,20.6212000009,2.54063157081
770,8107.0,5.0,40.0,100.0,769.0,A9,2035,FARMLAND01,29.0067999959,13.2827781984
771,8108.0,5.0,40.0,100.0,770.0,A9,1928,FARMLAND02,9.94960000366,1.95460746061
771,8108.0,5.0,40.0,100.0,770.0,A9,1930,FARMLAND02,37.4871999938,29.0642754803
771,8108.0,5.0,40.0,100.0,770.0,A9,1979,FARMLAND02,24.1885999925,3.52849308055
771,8108.0,5.0,40.0,100.0,770.0,A9,1980,FARMLAND02,53.2877999973,64.7947344292
771,8108.0,5.0,40.0,100.0,770.0,A9,2032,FARMLAND02,9.73060000502,0.657889549306
772,8109.0,5.0,40.0,100.0,771.0,A9,1928,FARMLAND02,26.9270000048,11.1045402824
772,8109.0,5.0,40.0,100.0,771.0,A9,1930,FARMLAND02,21.6562000029,8.82304204861
772,8109.0,5.0,40.0,100.0,771.0,A9,1977,FARMLAND02,53.550600009,13.7498219872
772,8109.0,5.0,40.0,100.0,771.0,A9,1979,FARMLAND02,57.3034000061,26.8219603615
772,8109.0,5.0,40.0,100.0,771.0,A9,1980,FARMLAND02,42.0744000077,20.8411302391
772,8109.0,5.0,40.0,100.0,771.0,A9,2032,FARMLAND02,2.88659999892,0.0812985500131
791,8128.0,5.0,40.0,100.0,790.0,A9,1947,unclassified,33.9054000005,69.5270000026
792,8129.0,5.0,40.0,100.0,791.0,A9,1887,unclassified,8.25220000185,0.544965699558
792,8129.0,5.0,40.0,100.0,791.0,A9,1947,unclassified,40.0,99.024074961
792,8129.0,5.0,40.0,100.0,791.0,A9,1994,unclassified,6.5829999987,0.430959339466
793,8130.0,5.0,40.0,100.0,792.0,A9,1887,unclassified,33.690200001,43.7741528096
793,8130.0,5.0,40.0,100.0,792.0,A9,1947,unclassified,7.97619999945,2.52924369943
793,8130.0,5.0,40.0,100.0,792.0,A9,1994,unclassified,32.0209999979,53.6966034909
794,8131.0,5.0,40.0,100.0,793.0,A9,1887,unclassified,33.690200001,59.170053226
794,8131.0,5.0,40.0,100.0,793.0,A9,1946,unclassified,20.5657999981,22.7599415373
