FID_A6,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2469,HERB01,4.45379999653,0.678364559995
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2703,HERB03,6.06359999999,0.855503259952
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2706,HERB01,66.188599987,61.9102705975
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2708,HERB01,37.8563674729,19.3407917682
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2709,HERB01,18.427984123,8.19615254569
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2940,HERB02,12.5306373848,4.79629336014
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2941,HERB03,38.5945903007,14.5585142717
1,3843.0,6.0,43.7026177728,115.890049132,0.0,A6,2944,HERB01,20.1396334368,5.55436152611
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2469,HERB01,7.83179998957,0.547886088616
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2702,HERB01,11.3326000031,2.32528362016
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2703,HERB03,15.0947999954,4.14117102975
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2704,HERB01,50.2235999927,61.6430977985
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2706,HERB01,13.7785999961,2.71143589977
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2936,HERB02,27.2348095504,9.40177287038
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2937,WATER02,3.7253813802,0.451922459587
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2940,HERB02,29.0472423414,9.00167018536
2,3844.0,5.0,38.4153394158,92.0545297861,1.0,A6,2941,HERB03,10.8557999972,1.82990426071
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2464,HERB01,0.329199997708,0.00676487990996
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2698,HERB01,48.0228000004,38.4084274402
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2700,HERB02,41.2249999996,17.9373518882
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2702,HERB01,22.8343999945,6.48983218736
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2704,HERB01,15.9773999974,5.88201618
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2935,HERB02,25.045017979,13.7246914037
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2936,HERB02,22.3160339483,12.4314077248
3,3845.0,5.0,39.0109528032,95.0325967232,2.0,A6,2937,WATER02,2.22818192589,0.151574385159
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2460,HERB01,11.117399998,1.72457007988
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2697,HERB01,2.31059999764,0.1351396197
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2698,HERB01,56.9071999993,58.2211161864
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2700,HERB02,14.6524000037,3.73062449916
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2932,HERB02,20.8374000005,4.94677771947
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2934,HERB01,6.3105999995,0.889850161279
4,3846.0,5.0,39.6065661916,98.0106636649,3.0,A6,2935,HERB02,37.3384332657,28.3619217245
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2460,HERB01,10.6756000035,2.73402721928
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2697,HERB01,34.4828000087,30.9009001057
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2698,HERB01,13.9394000005,1.7174422997
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2930,HERB02,28.3593411877,16.7591717482
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2932,HERB02,52.1136000175,33.75458836
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2934,HERB01,27.9889632293,11.30972533
5,3847.0,6.0,39.3975640366,97.5749164238,4.0,A6,2935,HERB02,5.84114356702,0.398769584652
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2451,HERB02,3.83079999872,0.365170360003
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2454,HERB02,16.2284000032,2.52114279024
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2695,HERB01,30.164800005,11.4782041377
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2696,HERB02,37.0704521126,34.9752335626
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2697,HERB01,31.605200002,11.5330195179
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2928,HERB01,9.81100000627,1.3046015494
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2930,HERB02,53.9937703814,27.7778822366
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2931,HERB01,3.50475109167,0.24500654964
6,3848.0,5.0,38.1894631937,90.8289426332,5.0,A6,2932,HERB02,5.41720000096,0.628700720001
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2450,HERB02,12.5553999916,1.68796820016
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2451,HERB02,6.05159999616,0.496057359385
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2693,HERB01,29.860546094,12.1303357016
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2694,HERB01,23.0985923297,12.6627255622
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2695,HERB01,9.70120000094,1.97137496887
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2696,HERB02,21.2282544164,6.6090071986
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2925,HERB02,50.5515527591,43.0583419479
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2928,HERB01,59.3849658865,30.1987644964
7,3849.0,6.0,43.2561071706,108.952548626,6.0,A6,2929,WATER02,2.93576414562,0.137450715314
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2226,HERB01,15.5692000017,5.05274043827
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2472,HERB01,13.1117999926,1.05300058949
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2473,HERB01,76.4914567251,53.9386999699
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2475,HERB01,19.8116705133,5.70786340815
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2476,HERB01,12.9012647144,1.77937284921
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2477,HERB01,8.25908322538,1.33450993435
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2706,HERB01,2.93520000204,0.330399530564
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2708,HERB01,53.9349674754,39.59008301
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2709,HERB01,60.5063702428,65.9246201434
8,3850.0,7.0,51.127760066,174.712744543,7.0,A6,2944,HERB01,0.161535377015,0.0010768200089
9,3851.0,5.0,40.0,100.0,8.0,A6,2225,HERB01,12.5779999997,1.27759000889
9,3851.0,5.0,40.0,100.0,8.0,A6,2468,HERB02,39.0039999839,34.1679221081
9,3851.0,5.0,40.0,100.0,8.0,A6,2469,HERB01,22.9231999982,10.0462046012
9,3851.0,5.0,40.0,100.0,8.0,A6,2472,HERB01,41.9819999952,11.2946062915
9,3851.0,5.0,40.0,100.0,8.0,A6,2473,HERB01,8.24819999747,0.905518709579
9,3851.0,5.0,40.0,100.0,8.0,A6,2703,HERB03,4.36220000125,0.376175440351
9,3851.0,5.0,40.0,100.0,8.0,A6,2706,HERB01,44.1698000096,30.5266471901
9,3851.0,5.0,40.0,100.0,8.0,A6,2708,HERB01,29.0194000062,11.4053356502
10,3852.0,5.0,40.0,100.0,9.0,A6,2220,HERB01,13.7912000008,1.50593065846
10,3852.0,5.0,40.0,100.0,9.0,A6,2462,HERB01,26.3005999885,17.9591685601
10,3852.0,5.0,40.0,100.0,9.0,A6,2464,HERB01,33.2011999972,9.37362661943
10,3852.0,5.0,40.0,100.0,9.0,A6,2467,HERB02,27.4679999966,5.99442113868
10,3852.0,5.0,40.0,100.0,9.0,A6,2468,HERB02,20.3967999965,12.4356309988
