FID_A7,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
1010,5831.0,6.0,49.6717817489,145.099703085,1009.0,A7,4980,HERB04,32.9486000035,12.1166790782
1010,5831.0,6.0,49.6717817489,145.099703085,1009.0,A7,4983,HERB04,1.50709426732,0.0765958799598
1010,5831.0,6.0,49.6717817489,145.099703085,1009.0,A7,5055,SHRUB01,40.3836172998,11.7652183473
1010,5831.0,6.0,49.6717817489,145.099703085,1009.0,A7,5056,BARELAND01,8.70635710578,1.03519040984
1011,5832.0,5.0,40.0,100.0,1010.0,A7,4979,HERB03,5.48440000042,0.668726489778
1011,5832.0,5.0,40.0,100.0,1010.0,A7,4980,HERB04,48.0995999966,58.6458403821
1011,5832.0,5.0,40.0,100.0,1010.0,A7,5053,HERB03,35.209200006,17.5439640084
1012,5833.0,5.0,40.0,100.0,1011.0,A7,4975,HERB03,18.9001999963,6.07912942933
1012,5833.0,5.0,40.0,100.0,1011.0,A7,4979,HERB03,3.32300000079,0.241273970696
1012,5833.0,5.0,40.0,100.0,1011.0,A7,5051,HERB04,49.9637999982,33.3348369274
1012,5833.0,5.0,40.0,100.0,1011.0,A7,5052,HERB01,33.7714000009,12.4408319987
1012,5833.0,5.0,40.0,100.0,1011.0,A7,5053,HERB03,50.9850000013,46.5431901826
1013,5834.0,5.0,40.0,100.0,1012.0,A7,4975,HERB03,8.15159999765,0.652561430256
1013,5834.0,5.0,40.0,100.0,1012.0,A7,4976,HERB03,19.1087999977,8.49837857947
1013,5834.0,5.0,40.0,100.0,1012.0,A7,5050,HERB01,32.8103999998,17.9818910391
1013,5834.0,5.0,40.0,100.0,1012.0,A7,5051,HERB04,51.2136000022,55.1820770327
1014,5835.0,5.0,40.0,100.0,1013.0,A7,4976,HERB03,42.3104000054,34.9346972781
1014,5835.0,5.0,40.0,100.0,1013.0,A7,5050,HERB01,19.2243999969,6.10340011227
1015,5836.0,5.0,40.0,100.0,1014.0,A7,4972,HERB03,15.6289999951,3.67102642965
1015,5836.0,5.0,40.0,100.0,1014.0,A7,4974,HERB01,40.0772000011,25.7211069407
1015,5836.0,5.0,40.0,100.0,1014.0,A7,4976,HERB03,22.8026000001,12.5453191707
1016,5837.0,5.0,40.0,100.0,1015.0,A7,4972,HERB03,16.7752000056,8.57505317095
1017,5838.0,5.0,40.0,100.0,1016.0,A7,4898,HERB03,0.258600002155,0.0039650000757
1017,5838.0,5.0,40.0,100.0,1016.0,A7,5047,HERB03,31.7852000035,19.5556510301
1018,5839.0,5.0,40.0,100.0,1017.0,A7,5047,HERB03,24.6730000023,8.01527859223
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,4909,HERB04,22.5316000078,7.66963609981
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,4910,HERB01,21.8241964725,6.39639757482
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,4911,SHRUB01,45.9463805149,39.1159657154
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,4982,TREE03,18.1032545541,3.53613716539
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,4983,HERB04,33.7901650178,27.0095508812
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,5055,SHRUB01,26.60277758,6.60809389537
1037,5858.0,5.0,44.6029408893,100.915207729,1036.0,A7,5056,BARELAND01,17.0025778537,3.55154714301
1038,5859.0,5.0,40.0,100.0,1037.0,A7,4845,HERB03,6.72639999725,1.07210277024
1038,5859.0,5.0,40.0,100.0,1037.0,A7,4907,HERB01,7.39499999955,1.57457654883
1038,5859.0,5.0,40.0,100.0,1037.0,A7,4908,HERB03,28.5444000009,14.5395821408
